timestamp,symbol,long_exchange,short_exchange,spread_percent,fees_percent,funding_percent,net_percent,net_pnl_usd,capital_per_side
2025-12-30 18:18:56,TAKE/USDT:USDT,Gate,Bitget,0.3464,0.27,0.183,0.2594,0.1297,50
2025-12-30 18:23:05,SQD/USDT:USDT,Bitget,Gate,0.548,0.27,-0.2358,0.0422,0.0211,50
2025-12-30 18:24:42,ZBT/USDT:USDT,Bitget,Gate,0.4773,0.27,0.0516,0.2589,0.1294,50
2025-12-30 18:26:14,ZRX/USDT:USDT,Bitget,Bybit,2.2138,0.23,-0.4414,1.5424,0.7712,50
2025-12-30 18:27:02,PIPPIN/USDT:USDT,Bitget,Gate,0.5495,0.27,0.0578,0.3373,0.1687,50
2025-12-30 18:30:24,BEAT/USDT:USDT,Bitget,Bybit,0.6426,0.23,-0.0143,0.3984,0.1992,50
2025-12-30 18:35:57,SQD/USDT:USDT,Bitget,Gate,0.6185,0.27,-0.216,0.1325,0.0663,50
2025-12-30 18:37:38,ZBT/USDT:USDT,Bitget,Gate,0.4483,0.27,0.0522,0.2305,0.1152,50
2025-12-30 18:39:11,ZRX/USDT:USDT,Bitget,Bybit,2.3089,0.23,-0.4039,1.675,0.8375,50
2025-12-30 18:40:00,PIPPIN/USDT:USDT,Bitget,Gate,0.5142,0.27,0.0567,0.3009,0.1504,50
2025-12-30 18:43:30,BEAT/USDT:USDT,Bitget,Bybit,0.7027,0.23,-0.0298,0.4429,0.2214,50
2025-12-30 18:44:53,TAKE/USDT:USDT,Gate,Bitget,0.588,0.27,0.1588,0.4768,0.2384,50
2025-12-30 18:48:51,SQD/USDT:USDT,Bitget,Gate,0.6487,0.27,-0.1899,0.1888,0.0944,50
2025-12-30 18:50:30,ZBT/USDT:USDT,Bitget,Gate,0.4494,0.27,0.0522,0.2316,0.1158,50
2025-12-30 18:52:03,ZRX/USDT:USDT,Bitget,Bybit,2.4246,0.23,-0.2301,1.9645,0.9823,50
2025-12-30 18:52:52,PIPPIN/USDT:USDT,Bitget,Gate,0.5169,0.27,0.0705,0.3174,0.1587,50
2025-12-30 18:56:21,BEAT/USDT:USDT,Bitget,Gate,0.7145,0.27,-0.0097,0.4348,0.2174,50
2025-12-30 19:01:53,SQD/USDT:USDT,Bitget,Gate,0.6446,0.27,-0.17,0.2046,0.1023,50
2025-12-30 19:03:32,ZBT/USDT:USDT,Bitget,Gate,0.4526,0.27,0.0514,0.234,0.117,50
2025-12-30 19:05:05,ZRX/USDT:USDT,Bitget,Bybit,2.2504,0.23,-0.28,1.7404,0.8702,50
2025-12-30 19:05:52,PIPPIN/USDT:USDT,Bitget,Gate,0.529,0.27,0.0715,0.3305,0.1653,50
2025-12-30 19:09:22,BEAT/USDT:USDT,Bitget,Bybit,0.6987,0.23,-0.0397,0.429,0.2145,50
2025-12-30 19:09:39,LIT/USDT:USDT,Bitget,Gate,1.1554,0.27,-0.0039,0.8815,0.4408,50
2025-12-30 19:14:58,SQD/USDT:USDT,Bitget,Gate,0.5498,0.27,-0.1557,0.1241,0.0621,50
2025-12-30 19:16:37,ZBT/USDT:USDT,Bitget,Gate,0.3885,0.27,0.0518,0.1703,0.0851,50
2025-12-30 19:18:08,ZRX/USDT:USDT,Bitget,Bybit,2.7513,0.23,-0.9572,1.5641,0.782,50
2025-12-30 19:19:00,PIPPIN/USDT:USDT,Bitget,Gate,0.4868,0.27,0.0673,0.2841,0.1421,50
2025-12-30 19:22:28,BEAT/USDT:USDT,Bitget,Gate,0.7549,0.27,-0.0045,0.4804,0.2402,50
2025-12-30 19:22:43,LIT/USDT:USDT,Bitget,Gate,0.8536,0.27,0.0,0.5836,0.2918,50
2025-12-30 19:23:48,TAKE/USDT:USDT,Gate,Bitget,0.4198,0.27,0.1663,0.3161,0.1581,50
2025-12-30 19:28:19,WCT/USDT:USDT,Bitget,Bybit,0.3902,0.23,0.427,0.5871,0.2936,50
2025-12-30 19:29:29,ZBT/USDT:USDT,Bitget,Gate,0.3235,0.27,0.052,0.1055,0.0528,50
2025-12-30 19:31:07,ZRX/USDT:USDT,Bitget,Bybit,2.8868,0.23,-0.6602,1.9966,0.9983,50
2025-12-30 19:31:55,PIPPIN/USDT:USDT,Bitget,Gate,0.5049,0.27,0.0668,0.3017,0.1509,50
2025-12-30 19:35:24,BEAT/USDT:USDT,Bitget,Gate,0.702,0.27,0.0242,0.4562,0.2281,50
2025-12-30 19:36:45,TAKE/USDT:USDT,Gate,Bitget,0.5299,0.27,0.1643,0.4242,0.2121,50
2025-12-30 19:40:47,SQD/USDT:USDT,Bitget,Gate,0.5735,0.27,-0.1388,0.1647,0.0824,50
2025-12-30 19:41:16,WCT/USDT:USDT,Bitget,Bybit,0.3267,0.23,0.4297,0.5264,0.2632,50
2025-12-30 19:42:27,ZBT/USDT:USDT,Bitget,Gate,0.3872,0.27,0.0496,0.1668,0.0834,50
2025-12-30 19:44:00,ZRX/USDT:USDT,Bitget,Bybit,2.927,0.23,-0.3549,2.3422,1.1711,50
2025-12-30 19:44:49,PIPPIN/USDT:USDT,Bitget,Gate,0.5777,0.27,0.0605,0.3682,0.1841,50
2025-12-30 19:48:09,BEAT/USDT:USDT,Bitget,Gate,0.6393,0.27,0.0384,0.4077,0.2039,50
2025-12-31 04:31:43,PIPPIN/USDT:USDT,Bitget,Gate,0.4329,0.27,0.054,0.2169,0.1084,50
2025-12-31 06:15:36,TAKE/USDT:USDT,Gate,Bitget,0.604,0.27,0.1508,0.4848,0.2424,50
2025-12-31 06:15:52,WCT/USDT:USDT,Bitget,Bybit,0.3517,0.23,0.1061,0.2278,0.1139,50
2025-12-31 06:15:56,RIVER/USDT:USDT,Bitget,Bybit,1.2854,0.23,0.0555,1.1109,0.5554,50
2025-12-31 06:17:22,SQD/USDT:USDT,Bitget,Bybit,0.7595,0.23,-0.2929,0.2365,0.1183,50
2025-12-31 06:19:00,LIT/USDT:USDT,Bybit,Gate,0.5324,0.26,-0.0232,0.2492,0.1246,50
2025-12-31 06:20:20,PIPPIN/USDT:USDT,Bitget,Bybit,0.4834,0.23,-0.0045,0.2488,0.1244,50
2025-12-31 06:20:52,ZBT/USDT:USDT,Bitget,Gate,0.461,0.27,0.0565,0.2475,0.1237,50
2025-12-31 06:21:15,ZRX/USDT:USDT,Bitget,Gate,1.2479,0.27,0.1073,1.0852,0.5426,50
2025-12-31 06:26:58,BEAT/USDT:USDT,Bitget,Gate,0.7716,0.27,-0.0269,0.4747,0.2373,50
2025-12-31 06:31:13,TAKE/USDT:USDT,Gate,Bitget,0.3789,0.27,0.1475,0.2564,0.1282,50
2025-12-31 06:31:29,WCT/USDT:USDT,Bitget,Gate,0.3155,0.27,0.1246,0.1701,0.085,50
2025-12-31 06:31:32,RIVER/USDT:USDT,Bitget,Bybit,1.3116,0.23,-0.0011,1.0805,0.5402,50
2025-12-31 06:33:03,SQD/USDT:USDT,Bitget,Bybit,0.9594,0.23,-0.2854,0.4441,0.222,50
2025-12-31 06:34:45,LIT/USDT:USDT,Bybit,Bitget,0.4896,0.23,0.0,0.2596,0.1298,50
2025-12-31 06:36:05,PIPPIN/USDT:USDT,Bitget,Bybit,0.4591,0.23,0.0002,0.2293,0.1147,50
2025-12-31 06:37:05,ZRX/USDT:USDT,Bitget,Gate,1.2554,0.27,0.0836,1.069,0.5345,50
2025-12-31 06:43:00,BEAT/USDT:USDT,Bitget,Gate,0.584,0.27,-0.0333,0.2807,0.1403,50
2025-12-31 06:47:34,TAKE/USDT:USDT,Gate,Bitget,0.5762,0.27,0.1436,0.4498,0.2249,50
2025-12-31 06:47:54,RIVER/USDT:USDT,Bitget,Bybit,1.2649,0.23,-0.0683,0.9666,0.4833,50
2025-12-31 06:49:26,SQD/USDT:USDT,Bitget,Gate,1.0335,0.27,-0.0611,0.7024,0.3512,50
2025-12-31 06:51:09,LIT/USDT:USDT,Bybit,Bitget,0.4778,0.23,0.0,0.2478,0.1239,50
2025-12-31 06:52:28,PIPPIN/USDT:USDT,Bitget,Gate,0.5971,0.27,-0.0463,0.2808,0.1404,50
2025-12-31 06:53:26,ZRX/USDT:USDT,Bitget,Bybit,1.0386,0.23,0.0702,0.8787,0.4394,50
2025-12-31 06:59:05,BEAT/USDT:USDT,Bitget,Gate,0.5647,0.27,-0.0199,0.2748,0.1374,50
2025-12-31 07:03:34,TAKE/USDT:USDT,Gate,Bitget,0.5029,0.27,0.1462,0.3791,0.1895,50
2025-12-31 07:03:55,RIVER/USDT:USDT,Bitget,Bybit,1.0558,0.23,-0.2403,0.5855,0.2927,50
2025-12-31 07:05:26,SQD/USDT:USDT,Bitget,Bybit,0.7853,0.23,-0.2736,0.2818,0.1409,50
2025-12-31 07:07:08,LIT/USDT:USDT,Bybit,Bitget,0.5243,0.23,0.0,0.2943,0.1471,50
2025-12-31 07:08:26,NIGHT/USDT:USDT,Bitget,Gate,0.3413,0.27,0.0884,0.1597,0.0799,50
2025-12-31 07:08:27,PIPPIN/USDT:USDT,Bitget,Gate,0.6229,0.27,-0.0328,0.3201,0.16,50
2025-12-31 07:09:06,ZBT/USDT:USDT,Bitget,Gate,0.3512,0.27,-0.0088,0.0724,0.0362,50
2025-12-31 07:09:31,ZRX/USDT:USDT,Bitget,Bybit,0.8935,0.23,-0.0208,0.6427,0.3213,50
2025-12-31 07:13:58,POLYX/USDT:USDT,Bitget,Bybit,1.0672,0.23,-0.6455,0.1917,0.0958,50
2025-12-31 07:15:15,BEAT/USDT:USDT,Bitget,Gate,0.4734,0.27,0.0457,0.2491,0.1245,50
2025-12-31 07:19:31,TAKE/USDT:USDT,Gate,Bitget,0.535,0.27,0.1348,0.3998,0.1999,50
2025-12-31 07:19:49,RIVER/USDT:USDT,Bitget,Bybit,1.294,0.23,-0.2446,0.8194,0.4097,50
2025-12-31 07:21:11,SQD/USDT:USDT,Bitget,Bybit,0.7106,0.23,-0.2375,0.2431,0.1215,50
2025-12-31 07:22:47,LIT/USDT:USDT,Bybit,Bitget,0.4744,0.23,0.0,0.2444,0.1222,50
2025-12-31 07:23:33,ZKP/USDT:USDT,Bitget,Bybit,1.1121,0.23,-0.0228,0.8593,0.4296,50
2025-12-31 07:24:00,NIGHT/USDT:USDT,Bitget,Bybit,0.4236,0.23,0.0917,0.2853,0.1427,50
2025-12-31 07:24:01,PIPPIN/USDT:USDT,Bitget,Gate,0.5638,0.27,0.0057,0.2995,0.1498,50
